acceleration_y,data_format,pressure,acceleration_z,battery,temperature,acceleration,acceleration_x,humidity,time,device_mac
21,3,987.42,1032,3061,21.61,1033.8984476243302,-59,37.5,2019-10-12T05:35:06.869529,E4:49:12:58:E8:AF
16,3,987.5,1027,3073,21.61,1028.5961306557595,-55,37.5,2019-10-12T05:40:06.238874,E4:49:12:58:E8:AF
18,3,987.54,1022,3073,21.61,1023.6371427415088,-55,37.5,2019-10-12T05:45:06.749577,E4:49:12:58:E8:AF
22,3,987.63,1027,3073,21.61,1028.7609051669879,-56,37.5,2019-10-12T05:50:06.147933,E4:49:12:58:E8:AF
19,3,987.64,1030,3079,21.61,1031.8066679373612,-58,37.5,2019-10-12T05:55:06.523603,E4:49:12:58:E8:AF
18,3,987.67,1024,3073,21.61,1025.8562277434396,-59,37.5,2019-10-12T06:00:06.971957,E4:49:12:58:E8:AF
24,3,987.74,1027,3061,21.61,1028.9732746772386,-59,37.5,2019-10-12T06:05:06.312596,E4:49:12:58:E8:AF
21,3,987.8,1029,3073,21.61,1030.7914435034859,-57,37.5,2019-10-12T06:10:06.804334,E4:49:12:58:E8:AF
20,3,987.85,1030,3061,21.61,1031.7698386752736,-57,37.5,2019-10-12T06:15:07.180577,E4:49:12:58:E8:AF
23,3,987.8,1031,3079,21.6,1032.7758711356496,-56,37.5,2019-10-12T06:20:08.757279,E4:49:12:58:E8:AF
21,3,987.82,1019,3073,21.6,1020.7536431480419,-56,37.5,2019-10-12T06:25:07.138506,E4:49:12:58:E8:AF
20,3,987.85,1022,3067,21.6,1023.896967472802,-59,37.5,2019-10-12T06:30:06.538527,E4:49:12:58:E8:AF
21,3,987.84,1032,3067,21.6,1033.8984476243302,-59,37.5,2019-10-12T06:35:06.931729,E4:49:12:58:E8:AF
21,3,987.96,1030,3073,21.6,1031.78970725628,-57,37.5,2019-10-12T06:40:06.349846,E4:49:12:58:E8:AF
22,3,988.15,1027,3073,21.6,1028.7609051669879,-56,37.5,2019-10-12T06:45:07.778777,E4:49:12:58:E8:AF
19,3,988.19,1025,3073,21.6,1026.7044365346826,-56,37.5,2019-10-12T06:50:06.234907,E4:49:12:58:E8:AF
20,3,988.26,1027,3067,21.6,1028.666126593075,-55,37.5,2019-10-12T06:55:07.713045,E4:49:12:58:E8:AF
22,3,988.3,1031,3073,21.6,1032.8644635188105,-58,37.5,2019-10-12T07:00:08.086431,E4:49:12:58:E8:AF
21,3,988.28,1031,3061,21.6,1032.6267476682947,-54,37.5,2019-10-12T07:05:07.507013,E4:49:12:58:E8:AF
18,3,988.47,1025,3073,21.6,1026.74144749299,-57,37.5,2019-10-12T07:10:06.957412,E4:49:12:58:E8:AF
20,3,988.48,1030,3073,21.6,1031.825566653589,-58,37.5,2019-10-12T07:15:06.326600,E4:49:12:58:E8:AF
23,3,988.55,1030,3073,21.6,1031.8323507237017,-57,37.5,2019-10-12T07:20:06.803096,E4:49:12:58:E8:AF
22,3,988.68,1026,3073,21.6,1027.9304451177618,-59,37.5,2019-10-12T07:25:06.280886,E4:49:12:58:E8:AF
20,3,988.72,1029,3073,21.61,1030.8840865975185,-59,37.5,2019-10-12T07:30:06.703567,E4:49:12:58:E8:AF
20,3,988.81,1031,3073,21.61,1032.7134162002544,-56,37.5,2019-10-12T07:35:06.095206,E4:49:12:58:E8:AF
